STUDY,COUNTRY,AREA,REGION,BOTH,MONTH_START,YEAR_START,MONTH_END,YEAR_END,AGES,LOW_AGE,UPP_AGE,N_AGE_2,RNA_POS,RNA_N,SERO_POS,SERO_N,M_ZERO,TEST_TYPE,SAMPLE,SAMPLE_SITE,stratified by sample site (market/farm etc),stratified by import/local ,NEW,details,other,URL
deem,Kenya,,africa,N,,,,,6m-2yrs,0.5,2,N,NA,NA,17,80,60.82474227,PM,,,,,N,,,
deem,Kenya,,africa,N,,,,,>2yrs,2.01,20,N,NA,NA,118,194,60.82474227,PM,,,,,N,,,
munyua,Kenya,,africa,N,,,,,1-<4yrs,1,3.99,N,NA,NA,209,285,97.97297297,ELISA,,,,,N,"Munyua et al used commercially available ELISA (Euroimmun) on 1:100 diluted sera, with an OD ratio cut off of 0.4. ",,
munyua,Kenya,,africa,N,,,,,4-6yrs,4,6,N,NA,NA,114,116,97.97297297,ELISA,,,,,N,,,
munyua,Kenya,,africa,N,,,,,>6yrs,6.01,20,N,NA,NA,466,476,97.97297297,ELISA,,,,,N,,,
ommeh,Kenya,,africa,N,,,,,<4yrs,0,3.99,N,NA,NA,115,319,80.36144578,ELISA,,,,,N,Ommeh et al used an in-house IgG ELISA (adapted slightly from Zohaib by using 1:20 dilution and a cut-off of 0.35 OD ratio). ,,
ommeh,Kenya,,africa,N,,,,,>4<7yrs,4,7,N,NA,NA,41,70,80.36144578,ELISA,,,,,N,,,
ommeh,Kenya,,africa,N,,,,,>7yrs,7.01,20,N,NA,NA,626,760,80.36144578,ELISA,,,,,N,,,
kandeil,KSA,Western region (9 areas),middle_east,Y,unclear,unclear,unclear,unclear,<2yrs,0,1.99,Y,0,11,9,11,81.51658768,MN,,,,,N,Used MN as cited in Perera,,
kandeil,KSA,Western region (9 areas),middle_east,Y,unclear,unclear,unclear,unclear,>2yrs,2,20,Y,7,213,172,211,81.51658768,MN,,,,,N,,,
alagaili_2013,KSA,,middle_east,Y,,,,,<2yrs,0,1.99,Y,36,104,57,104,94.89795918,ELISA,,,,,N,"used an in house ELISA with a dilution of 1:3,000 and a cut-off of 0.6 OD ratio (and 3X OD of negative control sample). Western blot and LIPS were also performed (the main reported results are the ELISA results). ",,
alagaili_2013,KSA,,middle_east,Y,,,,,>2yrs,2,20,Y,15,98,93,98,94.89795918,ELISA,,,,,N,,,
kasem_prev,KSA,,middle_east,N,,,,,<2yrs,0,1.99,Y,303,423,NA,NA,,,,,,,,,,
kasem_prev,KSA,,middle_east,N,,,,,>2yrs,2,20,Y,91,275,NA,NA,,,,,,,,,,
kasem_cross,KSA,,middle_east,Y,,,,,0-2yrs,0,2,N,46,298,145,251,83.5106383,ELISA,targetted_epilink,multiple,,,N,used commercially available ELISA with 1:101 dilution (doesn’t explicitly say the cut-off used). 100 random samples were tested using ppNT and found ELISA to have 100% specificity (70 positive ELISA were all positive ppNT) and 95.98% sensitivity (3 ELISA-negative samples were shown to have week activity by ppNT – titres 40-160).,,
kasem_cross,KSA,,middle_east,Y,,,,,2.1-4yrs,2.1,4,N,13,202,120,156,83.5106383,ELISA,targetted_epilink,multiple,,,N,,,
kasem_cross,KSA,,middle_east,Y,,,,,4.1-6yrs,4.1,6,N,6,144,79,98,83.5106383,ELISA,targetted_epilink,multiple,,,N,,,
kasem_cross,KSA,,middle_east,Y,,,,,>6yrs,6.01,20,N,10,136,78,90,83.5106383,ELISA,targetted_epilink,multiple,,,N,,,
khalafalla,KSA,,middle_east,N,,,,,<4yrs,0,3.99,Y,15,36,NA,NA,NA,,,,,,,,,
khalafalla,KSA,,middle_east,N,,,,,>4yrs,4,20,Y,13,60,NA,NA,NA,,,,,,,,,
sabir,KSA,,middle_east,N,,,,,<0.5,0,0.49,N,28,190,NA,NA,NA,,,,,,,,,
sabir,KSA,,middle_east,N,,,,,0.5-1yr,0.5,0.99,N,58,315,NA,NA,NA,,,,,,,,,
sabir,KSA,,middle_east,N,,,,,1-2yrs,1,1.99,N,42,509,NA,NA,NA,,,,,,,,,
sabir,KSA,,middle_east,N,,,,,2-4yrs,2,4,N,20,206,NA,NA,NA,,,,,,,,,
sabir,KSA,,middle_east,N,,,,,>4yrs,4.01,20,N,5,46,NA,NA,NA,,,,,,,,,
alagaili_1992,KSA,,middle_east,N,,,,,<2yrs,0,2,Y,NA,NA,56,77,93.04812834,ELISA,,,,,N,"used an in house ELISA with a dilution of 1:3,000 and a cut-off of 0.6 OD ratio (and 3X OD of negative control sample). Western blot and LIPS were also performed (the main reported results are the ELISA results). ",,
alagaili_1992,KSA,,middle_east,N,,,,,>2yrs,2.01,20,Y,NA,NA,174,187,93.04812834,ELISA,,,,,N,,,
harrath,KSA,,middle_east,N,,,,,?2yrs,0,2.99,Y,NA,NA,66,71,78,ELISA,,,,,N,used commercial ELISA Euroimmun with a 1:100 dilution and an OD ratio greater than 1.1 at 450nm (as per kit instructions). ,,
harrath,KSA,,middle_east,N,,,,,3-5yrs,3,5.99,Y,NA,NA,78,100,78,ELISA,,,,,N,,,
hemida,KSA,,middle_east,N,,,,,<1yr,0,0.99,N,NA,NA,47,65,94.96402878,ppNT,,,,,N,"used ppNT with a threshold of 1:20. Hemida randomly selected 54 ppNT positive samples and titrated them using ppNT and MN for MERS-CoV and MN for BoV and if titres were not 4 fold higher against MERS-CoV these were classified indeterminate. Only 19/54 were MERS-CoV specific for sure. 17 were indeterminate, and 15 were BCoV specific (4 fold greater BCoV MN titre compared with MERS-CoV MN titre).",,
hemida,KSA,,middle_east,N,,,,,1-3yrs,1,3.99,N,NA,NA,101,106,94.96402878,ppNT,,,,,N,,,
hemida,KSA,,middle_east,N,,,,,4-5yrs,4,5.99,N,NA,NA,74,76,94.96402878,ppNT,,,,,N,,,
hemida,KSA,,middle_east,N,,,,,>5yrs,6,20,N,NA,NA,58,63,94.96402878,ppNT,,,,,N,,,
so,Nigeria,,africa,N,,,,,<2yrs,0,2,N,4,38,NA,NA,NA,,,,,,,,,
so,Nigeria,,africa,N,,,,,2-4yrs,2.01,4,N,31,1400,NA,NA,NA,,,,,,,,,
so,Nigeria,,africa,N,,,,,>4yrs,4.01,20,N,20,1091,NA,NA,NA,,,,,,,,,
saqib,Pakistan,,south_asia,N,,,,,<2yrs,0,2,N,NA,NA,26,89,50.37313433,ELISA_MN,,,,,N,"In Pakistan, Saqib et al used commercially available IgG ELISA (euroimmun) on 1:100 diluted sera with an OD cut off of 0.4, and then screened these positive samples using MN test with a cut off of 1:80. 223/315 samples deemed positive by ELISA were also found positive by MN. ",,
saqib,Pakistan,,south_asia,N,,,,,2.1-5yrs,2.1,5,N,NA,NA,62,208,50.37313433,ELISA_MN,,,,,N,,,
saqib,Pakistan,,south_asia,N,,,,,5.1-10yrs,5.1,10,N,NA,NA,92,180,50.37313433,ELISA_MN,,,,,N,,,
saqib,Pakistan,,south_asia,N,,,,,>10yrs,10.01,20,N,NA,NA,43,88,50.37313433,ELISA_MN,,,,,N,,,
zohaib,Pakistan,,south_asia,N,,,,,<3yrs,0,3,N,NA,NA,103,177,79.15234822,ELISA,,,,,N,"Zohaib et al used an in-house IgG ELISA and then confirmed positivity of a randomised subset of 100 and negativity using a subset of 20 using ppNT. They measured specificity using Saqib et al’s positive samples (ELISA euroimmun and MN) and measured 100% in-house ELISA sensitivity, and ELISA euroimmun negative samples were used to measure 100% specificity.",,
zohaib,Pakistan,,south_asia,N,,,,,3.1-10yrs,3.1,10,N,NA,NA,560,712,79.15234822,ELISA,,,,,N,,,
zohaib,Pakistan,,south_asia,N,,,,,>10yrs,10.01,20,N,NA,NA,131,161,79.15234822,ELISA,,,,,N,,,
mohran,Qatar,,middle_east,N,,,,,4-6m,0.33,0.573333333,N,15,19,NA,NA,NA,,,,,,,,,
mohran,Qatar,,middle_east,N,,,,,7-12m,0.583333333,0.99,N,17,20,NA,NA,NA,,,,,,,,,
mohran,Qatar,,middle_east,N,,,,,1-2yrs,1,2,N,8,9,NA,NA,NA,,,,,,,,,
mohran,Qatar,,middle_east,N,,,,,>2yrs,2.01,20,N,1,5,NA,NA,NA,,,,,,,,,
reusken,Qatar,,middle_east,N,,,,,7-<10yrs,7,9.99,Y,5,7,NA,NA,NA,,,,,,,,,
reusken,Qatar,,middle_east,N,,,,,10-15yrs,10,15,Y,0,5,NA,NA,NA,,,,,,,,,
kandeil,Senegal,"Saint-Louis region, 7 areas",africa,Y,8,2017,9,2017,<2yrs,0,1.99,Y,2,15,5,17,68.50828729,MN,systematic,pastoralist-domestic,N,N,Y,Used MN as cited in Perera,,
kandeil,Senegal,"Saint-Louis region, 7 areas",africa,Y,8,2017,9,2017,>2yrs,2,20,Y,5,112,124,181,68.50828729,MN,systematic,pastoralist-domestic,N,N,Y,,,
kandeil,Tunisia,7 markets,africa,Y,12,2015,1,2018,<2yrs,0,1.99,Y,0,82,28,28,86.87002653,MN,systematic,markets,N,N,Y,Used MN as cited in Perera,,
kandeil,Tunisia,7 markets,africa,Y,12,2015,1,2018,>2yrs,2,20,Y,9,988,655,754,86.87002653,MN,systematic,markets,N,N,Y,,,
reusken_tun,Tunisia,,africa,N,,,,,1-<2yrs,1,2,Y,NA,NA,14,46,51.26582278,PM,,,,,N,"In Tunisia, Ethiopia and Nigeria Reusken used protein microarray, PM, with a cut-off of 4000 RFU same as Meyer et al.",,
reusken_tun,Tunisia,,africa,N,,,,,>2-16yrs,2.01,16,Y,NA,NA,81,158,51.26582278,PM,,,,,N,,,
wernery_acute,UAE,,middle_east,Y,,,,,<1yr,0,0.99,N,24,68,92,108,96.12903226,ELISA,,,,,N,"used the commercially available ELISA, at a 1:101 dilution, using a 1.0 ratio cut off.",,
wernery_acute,UAE,,middle_east,Y,,,,,2-4yrs,2,3.99,N,10,344,328,340,96.12903226,ELISA,,,,,N,,,
wernery_acute,UAE,,middle_east,Y,,,,,>4yrs,4,20,N,0,250,298,310,96.12903226,ELISA,,,,,N,,,
wernery_phylo,UAE,,middle_east,N,,,,,0-3m,0,0.32,N,NA,NA,24,32,99.2481203,ELISA,,,,,N,,,
wernery_phylo,UAE,,middle_east,N,,,,,4m,0.33,0.406666667,N,NA,NA,11,14,99.2481203,ELISA,,,,,N,,,
wernery_phylo,UAE,,middle_east,N,,,,,5-6m,0.416666667,0.582333333,N,NA,NA,41,46,99.2481203,ELISA,,,,,N,,,
wernery_phylo,UAE,,middle_east,N,,,,,7-12m,0.583333333,1,N,NA,NA,26,29,99.2481203,ELISA,,,,,N,,,
wernery_phylo,UAE,,middle_east,N,,,,,>1yr,1.01,20,N,NA,NA,132,133,99.2481203,ELISA,,,,,N,,,
kandeil,Uganda,Northern East (Moroto and Amudat),africa,Y,2,2017,3,2017,<2yrs,0,1.99,Y,0,150,78,150,65.71428571,MN,systematic,pastoralist-domestic,N,N,Y,Used MN as cited in Perera,,
kandeil,Uganda,Northern East (Moroto and Amudat),africa,Y,2,2017,3,2017,>2yrs,2,20,Y,0,350,230,350,65.71428571,MN,systematic,pastoralist-domestic,N,N,Y,,,
